Length	Lowest Frequency	Highest Frequency	Average Frequency	Frequency Band	Impulse Count
1.7	6379.7	6428.57	6417.29	48.87	5.0
1.2	6285.71	6492.48	6395.78	206.77	9.0
2.5	6281.95	6428.57	6351.9	146.62	14.0
1.9	6353.38	6428.57	6393.48	75.19	9.0
1.9	6349.62	6424.81	6380.48	75.19	12.0
3.3	6353.38	6428.57	6402.25	75.19	23.0
0.5	6428.57	6432.33	6484.96	3.76	6.0
1.2	6078.95	6563.91	6417.67	484.96	5.0
1.6	6139.1	6563.91	6354.32	424.81	6.0
0.6	6428.57	6563.91	6496.24	135.34	5.0
0.5	6428.57	6563.91	6474.94	135.34	3.0
0.7	6424.81	6496.24	6455.64	71.43	5.0
0.6	6424.81	6560.15	6460.06	135.34	4.0
0.5	6432.33	6560.15	6504.56	127.82	7.0
0.6	6424.81	6492.48	6443.61	67.67	4.0
3.9	1609.02	2778.2	2280.19	1169.18	16.0
5.0	1601.5	3000.0	2285.24	1398.5	20.0
5.4	1672.93	3424.81	2347.01	1751.88	18.0
3.3	1672.93	3000.0	2237.69	1327.07	11.0
3.8	1676.69	3071.43	2306.89	1394.74	15.0
2.6	1812.03	2725.56	2346.24	913.53	15.0
5.4	1812.03	2793.23	2366.92	981.2	10.0
4.1	1537.59	2097.74	1905.21	560.15	14.0
2.6	6349.62	6428.57	6384.71	78.95	6.0
0.7	6436.09	6496.24	6483.71	60.15	6.0
1.0	6387.22	8518.8	7427.16	2131.58	4.0
1.1	6372.18	6417.29	6389.37	45.11	7.0
0.4	6000.0	6000.0	6009.19	0.0	9.0
0.4	5992.48	6003.76	5981.83	11.28	3.0
6.2	6285.71	8518.8	8343.61	2233.09	15.0
0.8	6421.05	7759.4	7333.33	1338.35	3.0
0.9	6285.71	7819.55	7053.57	1533.84	2.0
1.0	7823.31	7906.01	7894.36	82.7	5.0
0.9	7827.07	7898.5	7893.8	71.43	4.0
1.7	6285.71	7898.5	7624.06	1612.79	6.0
0.9	7875.94	7898.5	7873.12	22.56	4.0
0.1	7815.79	7823.31	7819.55	7.52	1.0
0.2	6285.71	6357.14	6332.08	71.43	3.0
0.5	6285.71	6353.38	6332.7	67.67	3.0
0.2	6285.71	6424.81	6355.26	139.1	4.0
3.2	6285.71	6353.38	6320.95	67.67	4.0
0.0	7755.64	7890.98	7789.48	135.34	2.0
0.5	6496.24	6500.0	6529.14	3.76	2.0
0.5	6424.81	6563.91	6493.73	139.1	3.0
0.4	6285.71	6496.24	6426.06	210.53	3.0
0.2	6353.38	6353.38	6353.38	0.0	1.0
1.0	6368.42	7890.98	6893.17	1522.56	6.0
0.3	6428.57	6563.91	6479.32	135.34	4.0
3.2	7890.98	8383.46	8007.52	492.48	7.0
1.8	8172.93	8379.7	8261.43	206.77	12.0
5.2	8101.5	8315.79	8205.83	214.29	2.0
0.4	6003.76	6078.95	6041.35	75.19	2.0
0.4	6003.76	6078.95	6041.35	75.19	2.0
0.5	6003.76	6078.95	6030.08	75.19	3.0
2.0	5936.09	6003.76	5949.56	67.67	6.0
1.9	5939.85	6007.52	5967.24	67.67	7.0
2.2	5936.09	6007.52	5976.64	71.43	7.0
6.1	5936.09	6007.52	5951.88	71.43	10.0
0.0	5951.13	6075.19	6013.16	124.06	1.0
0.5	2936.09	5939.85	3983.71	3003.76	3.0
0.4	6007.52	6075.19	6041.35	67.67	2.0
3.6	5936.09	6075.19	5972.28	139.1	16.0
2.7	5936.09	6078.95	6001.2	142.86	11.0
3.2	5936.09	6078.95	5998.12	142.86	8.0
1.2	5939.85	6003.76	5961.15	63.91	3.0
0.4	5939.85	6078.95	6009.4	139.1	2.0
0.4	6071.43	5943.61	6007.52	127.82	2.0
2.8	5936.09	6075.19	5975.56	139.1	11.0
0.9	5939.85	6007.52	5956.77	67.67	4.0
1.5	5936.09	6003.76	5957.57	67.67	7.0
5.9	5936.09	6075.19	5972.75	139.1	4.0
1.3	5936.09	6075.19	5961.78	139.1	6.0
0.8	5939.85	6078.95	5974.0	139.1	6.0
0.4	5936.09	6075.19	6029.45	139.1	3.0
2.3	5936.09	6078.95	5992.35	142.86	14.0
3.2	5936.09	6078.95	5974.99	142.86	13.0
3.2	5936.09	6075.19	5967.78	139.1	14.0
2.2	5936.09	6075.19	5972.12	139.1	6.0
4.0	5936.09	6075.19	5954.05	139.1	9.0
0.4	5936.09	6075.19	6029.45	139.1	3.0
0.4	5936.09	6003.76	5969.93	67.67	2.0
0.2	5939.85	5947.37	5974.62	7.52	2.0
0.5	5939.85	5939.85	5939.85	0.0	2.0
2.7	5936.09	6075.19	5964.05	139.1	8.0
1.8	5936.09	6075.19	5972.74	139.1	4.0
4.4	5936.09	6078.95	5981.06	142.86	13.0
3.3	5939.85	6075.19	5968.05	135.34	7.0
4.2	5936.09	6075.19	5963.77	139.1	11.0
5.3	5939.85	6075.19	5967.78	135.34	7.0
3.9	5936.09	6078.95	5989.04	142.86	12.0
0.7	5936.09	6075.19	5996.87	139.1	6.0
